Timestamp,Username,Name,Email,Phone Number,Date,Time Start,Court Room Number,Judge Name 1,Judge Name 2,Notes,Attorneys Present,The judge was impartial,Explanation,The judge was professional,Explanation.1,The judge was rational,Explanation.2,The judge was compassionate,Explanation.3,The judge was respectful,Explanation.4,The judge was unbiased,Explanation.5,The judge was patient,Explanation.6,The judge was audible,Explanation.7,The judge was intelligible,Explanation.8,The judge's questions were relevant,Explanation.9,The judge's decision was understandable,Explanation.10,The judge was considerate,Explanation.11,The judge was punctual,Explanation.12,The judge was attentive,Explanation.13,The judge was prepared,Explanation.14,The judge was authoritative,Explanation.15,Is there anything else you wish to address?,Unnamed: 45
2021/03/22 09:30:00,Benjamin Scott,fernandeztoni@yahoo.com,Benjamin Scott,,2021/03/22,9:30:00,Chicago Courtroom 100,,,,,Strongly Agree,,Strongly Agree,,Strongly Disagree,,Agree,,Strongly Disagree,,Strongly Agree,,Neutral,,Agree,,Strongly Agree,,Strongly Disagree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Disagree,,Strongly Agree,,PD asked for community service,
2021/05/10 11:00:00,Jorge Steele,barbarawilson@brown.com,Jorge Steele,,2021/05/10,11:00:00,Chicago Courtroom 702,,,,Manuel Moore,Strongly Agree,,Strongly Disagree,,Agree,,Neutral,,Strongly Disagree,,Agree,,Strongly Agree,,Strongly Disagree,,Strongly Agree,,Agree,,Neutral,,Agree,,Disagree,,Strongly Disagree,,Strongly Agree,,Neutral,,,
2021/02/09 12:00:00,Shannon Gross,lisagonzalez@wells.org,Shannon Gross,,2021/02/09,12:00:00,Chicago Courtroom 102,John Moore,,,Kimberly Nash,Strongly Disagree,,Agree,,Disagree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Disagree,,Strongly Agree,,Agree,,Agree,,Neutral,,Neutral,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,,
2021/02/24 11:00:00,Christopher Garrison,vargasadam@frank.com,Christopher Garrison,,2021/02/24,11:00:00,Chicago Courtroom 100,,,,,Neutral,,Disagree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Neutral,,Strongly Agree,,Neutral,,Agree,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Agree,,Agree,,Offered a continuance due to private...,
2021/03/26 10:00:00,Daniel Davis,yhernandez@mccoy-malone.org,Daniel Davis,,2021/03/26,10:00:00,Chicago Courtroom 100,,,,Willie Lowery,Disagree,,Neutral,,Strongly Agree,,Agree,,Neutral,,Neutral,,Neutral,,Agree,,Disagree,,Strongly Disagree,,Neutral,,Strongly Disagree,,Strongly Disagree,,Strongly Agree,,Agree,,Neutral,,,
2021/10/05 12:30:00,James Williams,jaredboyd@jensen-fowler.com,James Williams,,2021/10/05,12:30:00,Chicago Courtroom 304,Kevin Chavez,,,Sheryl Hurley,Strongly Agree,,Neutral,,Agree,,Neutral,,Agree,,Neutral,,Neutral,,Strongly Agree,,Disagree,,Agree,,Neutral,,Strongly Agree,,Strongly Disagree,,Agree,,Neutral,,Strongly Disagree,,The attorney was...,
2021/01/19 09:30:00,Matthew Johnson,mbooker@montgomery-cole.com,Matthew Johnson,,2021/01/19,9:30:00,Bridgeview Courtroom 103,,,,Jason Tapia,Agree,,Agree,,Neutral,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Neutral,,Strongly Agree,,Neutral,,Disagree,,Neutral,,Strongly Agree,,Offered a continuance due to private...,
2021/09/29 12:30:00,Jorge Steele,barbarawilson@brown.com,Jorge Steele,,2021/09/29,12:30:00,Chicago Courtroom 102,Kristin Rodriguez,,,Clifford Murphy,Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Neutral,,Agree,,Neutral,,Strongly Agree,,Disagree,,Neutral,,Disagree,,Agree,,Neutral,,Disagree,,,
2021/02/09 10:00:00,Theresa Schroeder,wheelertyler@gmail.com,Theresa Schroeder,,2021/02/09,10:00:00,Chicago Courtroom 100,,,,,Strongly Agree,,Agree,,Disagree,,Disagree,,Strongly Agree,,Neutral,,Agree,,Disagree,,Agree,,Strongly Disagree,,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Disagree,,Strongly Disagree,,PD asked for community service,
2021/07/29 12:30:00,Kathleen Riggs,samanthahall@gmail.com,Kathleen Riggs,,2021/07/29,12:30:00,Chicago Courtroom 203,Charles Garner,,,,Neutral,,Strongly Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,Neutral,,charge was violation of bail bond,
2021/09/14 09:30:00,Andrew Walker,leah32@hotmail.com,Andrew Walker,,2021/09/14,9:30:00,Chicago Courtroom 100,Jeffrey Martinez,,,Shawn Ortega,Neutral,,Agree,,Strongly Agree,,Neutral,,Neutral,,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,Disagree,,Strongly Agree,,Strongly Disagree,,Agree,,Strongly Agree,,Neutral,,patient,
2021/03/03 10:30:00,Benjamin Scott,fernandeztoni@yahoo.com,Benjamin Scott,,2021/03/03,10:30:00,Chicago Courtroom 102,Karen Jackson,,,Mr. Peter Ruiz,Strongly Disagree,,Strongly Disagree,,Neutral,,Strongly Disagree,,Strongly Agree,,Agree,,Agree,,Disagree,,Neutral,,Strongly Agree,,Neutral,,Neutral,,Disagree,,Agree,,Neutral,,Strongly Disagree,,The man said...,
2021/03/31 09:30:00,Heather Mills,omercado@yahoo.com,Heather Mills,,2021/03/31,9:30:00,Chicago Courtroom 100,David Long,,,Theresa Thompson,Disagree,,Agree,,Agree,,Strongly Agree,,Strongly Disagree,,Agree,,Agree,,Disagree,,Disagree,,Disagree,,Strongly Agree,,Neutral,,Strongly Disagree,,Agree,,Agree,,Agree,,,
2021/08/10 09:30:00,Lisa Crawford,obarrera@turner.com,Lisa Crawford,,2021/08/10,9:30:00,Chicago Courtroom 102,Dr. Chad Small,,,Sonya Dawson,Agree,,Neutral,,Agree,,Agree,,Agree,,Strongly Disagree,,Neutral,,Agree,,Disagree,,Agree,,Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,
2021/07/28 11:00:00,Jeffrey James,hannahpena@gmail.com,Jeffrey James,,2021/07/28,11:00:00,Chicago Courtroom 100,Christina Potter,,,Mark Dalton,Agree,,Neutral,,Neutral,,Agree,,Strongly Agree,,Strongly Disagree,,Neutral,,Strongly Agree,,Agree,,Strongly Agree,,Disagree,,Strongly Agree,,Disagree,,Agree,,Strongly Agree,,Agree,,,
2021/01/12 09:30:00,Kathleen Riggs,samanthahall@gmail.com,Kathleen Riggs,,2021/01/12,9:30:00,Chicago Courtroom 600,Jason Smith,,,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Disagree,,Disagree,,Strongly Agree,,Agree,,Neutral,,Neutral,,Strongly Agree,,,
2021/12/20 10:00:00,Deanna Jimenez,carolsmith@gmail.com,Deanna Jimenez,,2021/12/20,10:00:00,Chicago Courtroom 305,Gregory Porter,,,Joseph Smith,Strongly Disagree,,Neutral,,Disagree,,Neutral,,Strongly Agree,,Agree,,Strongly Agree,,Neutral,,Strongly Agree,,Strongly Agree,,Agree,,Neutral,,Strongly Agree,,Strongly Disagree,,Disagree,,Strongly Agree,,,
2021/05/13 11:00:00,Erika Craig,xlewis@nelson.org,Erika Craig,,2021/05/13,11:00:00,Chicago Courtroom 100,,,,Jeremy Ray,Agree,,Agree,,Neutral,,Strongly Agree,,Agree,,Strongly Agree,,Neutral,,Agree,,Disagree,,Neutral,,Strongly Disagree,,Agree,,Agree,,Neutral,,Agree,,Agree,,The defendant...,
2021/06/17 12:30:00,Dawn Perry,darrencoleman@reed.com,Dawn Perry,,2021/06/17,12:30:00,Chicago Courtroom 100,Brandon Silva,,,Theodore Jones,Strongly Agree,,Neutral,,Neutral,,Disagree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,Disagree,,Disagree,,Disagree,,Neutral,,Strongly Disagree,,Agree,,Agree,,I think the judge was transparent...,
2021/01/13 09:00:00,Jacqueline Thomas,dtaylor@kemp-bailey.org,Jacqueline Thomas,,2021/01/13,9:00:00,Chicago Courtroom 205,Erik Martinez,,,Johnny Green,Strongly Agree,,Disagree,,Strongly Disagree,,Neutral,,Strongly Agree,,Strongly Disagree,,Strongly Agree,,Strongly Agree,,Agree,,Disagree,,Disagree,,Disagree,,Disagree,,Disagree,,Strongly Agree,,Agree,,Offered a continuance due to private...,
2021/04/21 12:30:00,Sarah Ward,marvin16@hotmail.com,Sarah Ward,,2021/04/21,12:30:00,Chicago Courtroom 100,Gloria Allen,,,,Neutral,,Agree,,Strongly Agree,,Disagree,,Agree,,Neutral,,Strongly Disagree,,Neutral,,Strongly Agree,,Strongly Agree,,Neutral,,Strongly Agree,,Agree,,Strongly Agree,,Neutral,,Neutral,,,
2021/02/19 10:00:00,Laura Hampton,bradley75@gmail.com,Laura Hampton,,2021/02/19,10:00:00,Chicago Courtroom 301,,,,Mark Dalton,Neutral,,Agree,,Neutral,,Strongly Disagree,,Strongly Agree,,Strongly Agree,,Neutral,,Strongly Disagree,,Disagree,,Strongly Agree,,Neutral,,Strongly Agree,,Neutral,,Neutral,,Strongly Disagree,,Agree,,,
2021/09/28 11:00:00,Michael Lawrence,kimberlybyrd@carter.org,Michael Lawrence,,2021/09/28,11:00:00,Chicago Courtroom 205,Erik Martinez,,,Susan Melton,Neutral,,Strongly Agree,,Strongly Agree,,Neutral,,Strongly Agree,,Neutral,,Neutral,,Agree,,Neutral,,Disagree,,Disagree,,Strongly Agree,,Agree,,Neutral,,Disagree,,Strongly Agree,,,
2021/11/23 10:30:00,Ann Taylor,brownelizabeth@gmail.com,Ann Taylor,,2021/11/23,10:30:00,Chicago Courtroom 606,Curtis Salazar,,,Willie Lowery,Agree,,Strongly Disagree,,Neutral,,Strongly Disagree,,Strongly Agree,,Agree,,Disagree,,Neutral,,Neutral,,Neutral,,Agree,,Strongly Disagree,,Strongly Disagree,,Strongly Agree,,Agree,,Disagree,,,
2021/08/10 12:30:00,Brad Walker,bobbyrichard@hotmail.com,Brad Walker,,2021/08/10,12:30:00,Chicago Courtroom 102,Amber Jacobs MD,,,Kevin Cox,Strongly Agree,,Neutral,,Neutral,,Agree,,Disagree,,Neutral,,Agree,,Strongly Agree,,Neutral,,Strongly Agree,,Neutral,,Neutral,,Strongly Agree,,Neutral,,Strongly Agree,,Strongly Disagree,,,
2021/11/02 10:00:00,Shaun Chandler,mcantu@yahoo.com,Shaun Chandler,,2021/11/02,10:00:00,Chicago Courtroom 100,James Stevenson,,,David Thomas,Agree,,Strongly Agree,,Agree,,Disagree,,Strongly Agree,,Strongly Disagree,,Agree,,Agree,,Agree,,Neutral,,Strongly Disagree,,Agree,,Neutral,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,
2021/11/26 10:00:00,Matthew Robertson,igordon@hotmail.com,Matthew Robertson,,2021/11/26,10:00:00,Chicago Courtroom 706,Blake Garcia,,,,Strongly Disagree,,Strongly Agree,,Neutral,,Strongly Agree,,Strongly Agree,,Agree,,Neutral,,Neutral,,Strongly Agree,,Strongly Agree,,Agree,,Neutral,,Agree,,Agree,,Agree,,Neutral,,proper steps so far it appears,
